query_id,query_text,query_intent,expected_category_l2,difficulty,candidate_rank,source_index_rank,similarity_score,product_id,title,candidate_category_l2,candidate_raw_label,candidate_attributes,image_path,relevance_grade,review_notes
earphone_01,适合通勤的无线蓝牙入耳式耳机,无线、蓝牙、入耳式,耳机,multi_attribute,1,1,0.365865,612638540610,havit/海威特I97蓝牙耳机通用真无线双耳运动跑步入耳式超长待机,耳机,蓝牙耳机,"{""耳机类别"":[""真无线耳机""],""佩戴方式"":[""入耳式""],""蓝牙版本"":[""5.0""]}",data/images/week1_v3/612638540610.webp,2,
earphone_01,适合通勤的无线蓝牙入耳式耳机,无线、蓝牙、入耳式,耳机,multi_attribute,2,11,0.344413,621656965008,绿联 蓝牙耳机tws真无线长待机续航大电量单双耳入耳式隐形防水运动跑步通用安卓适用苹果华为小米手机,耳机,蓝牙耳机,"{""耳机类别"":[""真无线耳机""],""佩戴方式"":[""耳塞式""],""耳机与播放设备连接方式"":[""蓝牙连接""],""蓝牙版本"":[""5.0""]}",data/images/week1_v3/621656965008.webp,2,
earphone_01,适合通勤的无线蓝牙入耳式耳机,无线、蓝牙、入耳式,耳机,multi_attribute,3,14,0.340404,556404503382,驾驶员单边单线耳机挂耳式耳塞带麦有线控通话手机耳麦左右通用,耳机,手机耳机,"{""佩戴方式"":[""挂耳式""]}",data/images/week1_v3/556404503382.webp,0,
earphone_01,适合通勤的无线蓝牙入耳式耳机,无线、蓝牙、入耳式,耳机,multi_attribute,4,41,0.324601,581300584985,维肯蓝牙耳机无线蓝牙超长续航运动耳机跑步不掉小米苹果华为安卓通用入耳式耳塞开车专用隐形耳返七夕礼物,耳机,蓝牙耳机,"{""耳机类别"":[""智能耳机""],""佩戴方式"":[""入耳式""],""耳机与播放设备连接方式"":[""蓝牙连接""],""蓝牙版本"":[""5.0""]}",data/images/week1_v3/581300584985.webp,2,
earphone_01,适合通勤的无线蓝牙入耳式耳机,无线、蓝牙、入耳式,耳机,multi_attribute,5,72,0.31198,579600375674,国行Apple/苹果 AirPods二代 无线蓝牙耳机/单只补配 左耳右耳充,耳机,蓝牙耳机,"{""耳机类别"":[""真无线耳机""],""佩戴方式"":[""入耳式""],""蓝牙版本"":[""4.0""]}",data/images/week1_v3/579600375674.webp,2,
earphone_01,适合通勤的无线蓝牙入耳式耳机,无线、蓝牙、入耳式,耳机,multi_attribute,6,78,0.3097,571248535069,JBL T280BT无线蓝牙耳机跑步运动耳塞防汗防水磁吸入耳式金属耳麦,耳机,蓝牙耳机,"{""佩戴方式"":[""入耳式""],""耳机与播放设备连接方式"":[""蓝牙连接""],""蓝牙版本"":[""4.0""]}",data/images/week1_v3/571248535069.webp,2,
earphone_01,适合通勤的无线蓝牙入耳式耳机,无线、蓝牙、入耳式,耳机,multi_attribute,7,113,0.298693,621400991855,游戏耳机入耳式吃鸡听声辩位专用电竞四核双动圈有线高音质手机通用男女重低音带麦K歌HIFI苹果安卓主动降噪,耳机,耳机/耳麦,"{""耳机类别"":[""普通耳机"",""手机线控耳机""],""佩戴方式"":[""入耳式""],""耳机与播放设备连接方式"":[""有线连接""],""是否无线"":[""有线""]}",data/images/week1_v3/621400991855.webp,0,
earphone_01,适合通勤的无线蓝牙入耳式耳机,无线、蓝牙、入耳式,耳机,multi_attribute,8,126,0.293186,587823728552,VIVO iQOO耳机原装弯头游戏专用电竟vivoiqoo3吃鸡Z1 pro iqooneo,耳机,手机耳机,"{""佩戴方式"":[""入耳式""]}",data/images/week1_v3/587823728552.webp,0,
earphone_01,适合通勤的无线蓝牙入耳式耳机,无线、蓝牙、入耳式,耳机,multi_attribute,9,131,0.291686,612182471234,BOSE 700无线降噪蓝牙耳机头戴式主动降噪蓝牙耳机运动耳麦,耳机,耳机/耳麦,"{""耳机类别"":[""无线耳机"",""主动降噪耳机""]}",data/images/week1_v3/612182471234.webp,0,
earphone_01,适合通勤的无线蓝牙入耳式耳机,无线、蓝牙、入耳式,耳机,multi_attribute,10,136,0.290195,590454993449,Shure/舒尔SE846娄氏十单元动铁耳机入耳式diy有线蓝牙高音质圈铁,耳机,耳机/耳麦,"{""耳机类别"":[""普通耳机"",""手机线控耳机""],""佩戴方式"":[""入耳式""],""是否无线"":[""有线""]}",data/images/week1_v3/590454993449.webp,0,
earphone_01,适合通勤的无线蓝牙入耳式耳机,无线、蓝牙、入耳式,耳机,multi_attribute,11,140,0.288442,619598651152,口红蓝牙耳机女生款可爱单耳无线蓝牙学生党半入耳式小型迷你肉色超隐形不闪灯女士小巧华为苹果安卓通用耳塞,耳机,蓝牙耳机,"{""佩戴方式"":[""耳塞式""],""耳机与播放设备连接方式"":[""蓝牙连接""],""蓝牙版本"":[""5.0""]}",data/images/week1_v3/619598651152.jpg,1,标题与属性冲突，标题为半入耳式，属性中为耳塞式
earphone_01,适合通勤的无线蓝牙入耳式耳机,无线、蓝牙、入耳式,耳机,multi_attribute,12,145,0.286809,562137902252,Sony/索尼 WH-1000XM3 1000XM4头戴式无线降噪蓝牙通话商务耳机,耳机,耳机/耳麦,"{""耳机类别"":[""主动降噪耳机"",""无线耳机""],""佩戴方式"":[""头戴式""],""是否无线"":[""无线""]}",data/images/week1_v3/562137902252.jpg,0,
earphone_01,适合通勤的无线蓝牙入耳式耳机,无线、蓝牙、入耳式,耳机,multi_attribute,13,146,0.285852,597205994580,JBL T280 TWS真无线蓝牙耳机5.0运动跑步迷你入耳挂耳式防水耳塞,耳机,耳机/耳麦,"{""耳机类别"":[""运动耳机"",""真无线耳机""],""佩戴方式"":[""入耳式""],""耳机与播放设备连接方式"":[""蓝牙连接""],""是否无线"":[""无线""]}",data/images/week1_v3/597205994580.webp,2,
earphone_01,适合通勤的无线蓝牙入耳式耳机,无线、蓝牙、入耳式,耳机,multi_attribute,14,149,0.284855,609321986854,白恩新款BH590呼叫中心话务员客服电销头戴式无线蓝牙5.0耳机耳麦,耳机,蓝牙耳机,"{""耳机类别"":[""主动降噪耳机""],""佩戴方式"":[""头戴式""],""耳机与播放设备连接方式"":[""蓝牙连接""],""蓝牙版本"":[""5.0""]}",data/images/week1_v3/609321986854.webp,0,
earphone_01,适合通勤的无线蓝牙入耳式耳机,无线、蓝牙、入耳式,耳机,multi_attribute,15,166,0.276301,606532556056,顺丰金士顿HYPERX天际全包耳手机无线蓝牙耳机头戴式带话麦Cloud打游戏吃鸡电竞有线连接Mix监来呀运动健身房,耳机,耳机/耳麦,"{""耳机类别"":[""游戏耳机""],""耳机与播放设备连接方式"":[""蓝牙连接""]}",data/images/week1_v3/606532556056.webp,0,
earphone_01,适合通勤的无线蓝牙入耳式耳机,无线、蓝牙、入耳式,耳机,multi_attribute,16,172,0.274902,559329008070,Hion/北恩FOR900呼叫中心话务员头戴式电销客服电脑电话耳机耳麦,耳机,耳机/耳麦,"{""耳机类别"":[""主动降噪耳机"",""HIFI耳机""],""佩戴方式"":[""头戴式""],""是否无线"":[""有线""]}",data/images/week1_v3/559329008070.webp,0,
