product_id,category_l1,category_l2,title,reasons,matched_frozen_product_ids,matched_frozen_splits,details,decision
523127199995,3C数码,鼠标,双飞燕无线鼠标联想戴尔神州小米笔记本台式机办公商务游戏标USB光电省电便携家用舒适人体工学G3-220N非充电,same_brand_model,562296958075,validation,双飞燕 / g3220n,exclude_from_training
524271795033,3C数码,鼠标,华硕 UT220 Pro伸缩线有线无线鼠标 笔记本电脑鼠标 USB光电鼠标,same_brand_model,620004973618,test,asus华硕 / ut220,exclude_from_training
540337084330,3C数码,耳机,国行现货 Sony/索尼 WH-1000XM3 三代国行头戴式无线降噪蓝牙耳机,same_brand_model,562137902252,validation,sony索尼 / wh1000xm3,exclude_from_training
553954101662,3C数码,键盘,双飞燕血手幽灵光轴茶轴机械键盘B975电竞游戏笔记本台式机网吧,same_brand_model,621646793043,validation,双飞燕 / b975,exclude_from_training
559871233580,3C数码,移动电源,小米note3背夹电池5splus无下巴式6x充电宝9手机壳无线超薄5s电源,same_brand_model,586356111871,test,other其他 / 背夹数码,exclude_from_training
565877760842,3C数码,鼠标,智能语音鼠标无线充电手写板语音打字翻译电脑台式家用笔记本办公,same_brand_model,620092020178,validation,赛科德 / s3cde7s,exclude_from_training
578179786073,3C数码,键盘,骚男外设店有线黑青轴真机械键盘鼠标套装键鼠游戏miss大司马电竞,same_brand_model,604304655707,validation,狼途数码 / k1000,exclude_from_training
581569530657,3C数码,移动电源,羽博LED台灯充电宝30000毫安大容量苹果华为闪充通用移动电源正品,same_brand_model,581323518733,test,yoobao羽博 / yb30e,exclude_from_training
592563957845,3C数码,键盘,官方旗舰店 黑爵AK60樱桃cherry机械键盘青轴黑轴茶轴RGB有线游戏,same_brand_model;similar_image,535288743349,validation,ajazz黑爵 / 光环ak60;dHash distance=2,exclude_from_training
595694468172,3C数码,耳机,Sony/索尼 WH-1000XM3 无线蓝牙主动降噪头戴式耳机XM2三代大法,same_brand_model,562137902252,validation,sony索尼 / wh1000xm3,exclude_from_training
