product_id,category_l1,category_l2,attribute_checklist,core_attribute_count,generated_title,selling_points,short_description,format_valid,auto_exact_matched_count,matched_attribute_count,fluency_pass,factual_error_count,category_style_pass,review_notes
522783084872,3C数码,移动电源,品牌=HANDIC/汉尼 | 型号=M-20000M | 电池容量=5400mAh | 电池类型=锂电池 | 电芯类型=圆柱状铝壳 | 外壳材质=塑料,6,HANDIC/汉尼 M-20000M 5400mAh 锂电池 移动电源,采用5400mAh大容量锂电池，满足长时间使用需求 | 圆柱状铝壳电芯设计，安全可靠 | 外壳采用耐用塑料材质，轻巧便携, HANDIC/汉尼 M-20000M移动电源，配备5400mAh锂电池，提供充足电力支持；采用圆柱状铝壳电芯，确保使用安全；外壳选用塑料材质，既轻便又耐用，方便携带。,1,6,6,1,4,1,将5400mAh写成大容量和长续航，并增加安全可靠、耐用、轻巧便携
562615192976,3C数码,移动电源,品牌=非尼摩鼠 | 型号=H15B | 电池容量=1500MAH | 电池类型=锂离子电池 | 电芯类型=圆柱状铝壳 | 外壳材质=塑料 | 充电协议=PE2.0 | 最大输出功率=18W,8,非尼摩鼠 H15B 1500mAh 锂离子移动电源,采用PE2.0充电协议，支持快速充电 | 圆柱状铝壳电芯设计，安全可靠 | 1500mAh大容量电池，满足日常使用需求,非尼摩鼠H15B移动电源，采用1500mAh锂离子电池，圆柱状铝壳电芯设计，确保安全稳定。支持PE2.0充电协议，实现快速充电。最大输出功率可达18W，适用于多种设备。,1,7,7,1,3,1,增加安全稳定、大容量适用性和多设备适用等未提供结论
583014299804,3C数码,移动电源,品牌=雅奇乐(电池) | 电池容量=8000mAh | 电池类型=锂聚合物电池 | 电芯类型=软包,4,雅奇乐8000mAh锂聚合物软包移动电源,采用高品质锂聚合物电芯，安全稳定 | 8000mAh大容量电池，满足长时间使用需求 | 软包设计，轻薄便携，易于携带,雅奇乐8000mAh锂聚合物软包移动电源，采用锂聚合物电芯，确保使用安全；大容量电池设计，提供持久电力支持；轻薄的软包设计，方便随身携带，是您出行充电的最佳选择。,1,2,4,1,3,1,增加安全稳定、长续航、轻薄便携等未提供结论
587556959797,3C数码,移动电源,"品牌=Luxtude | 型号=Et50L | 电池容量=5000mAh | 电池类型=锂聚合物电池 | 电芯类型=方形铝壳 | 外壳材质=合金 | 充电协议=BC1.2,DCP | 最大输出功率=12W",8,Luxtude Et50L 5000mAh 锂聚合物移动电源,采用方形铝壳电芯，安全稳定 | 支持BC1.2和DCP充电协议，兼容性强 | 合金外壳设计，坚固耐用,Luxtude Et50L是一款5000mAh容量的移动电源，使用锂聚合物电池和方形铝壳电芯，确保了产品的安全性和稳定性。它支持BC1.2和DCP充电协议，能够满足多种设备的充电需求。外壳采用合金材质，不仅美观而且坚固耐用。,1,7,7,1,2,1,增加安全稳定、强兼容性；12W未表达
589508217209,3C数码,移动电源,品牌=other/其他 | 型号=others | 电池容量=3000mAh | 电池类型=锂聚合物电池 | 电芯类型=软包 | 外壳材质=合金,6,3000mAh合金外壳锂聚合物软包移动电源,采用3000mAh大容量电池，满足长时间使用需求 | 外壳选用合金材质，坚固耐用，质感出色 | 内置锂聚合物软包电芯，安全可靠，充电更稳定,这款移动电源拥有3000mAh的大容量电池，能够提供持久电力支持。其外壳采用合金材质，不仅坚固耐用，还提升了整体质感。内部使用的是锂聚合物软包电芯，确保了使用的安全性和稳定性。,1,3,4,1,2,1,品牌和型号为占位值且未表达；增加长续航、安全稳定
590175217614,3C数码,移动电源,品牌=ROMOSS/罗马仕 | 型号=sense 8P | 电池容量=30000mAh | 电池类型=锂聚合物电池 | 电芯类型=软包 | 外壳材质=塑料 | 充电协议=QC2.0,7,ROMOSS sense 8P 30000mAh锂聚合物移动电源,采用软包电芯设计，安全可靠 | 支持QC2.0快充协议，充电更快捷 | 30000mAh大容量电池，续航无忧,ROMOSS sense 8P是一款30000mAh的大容量移动电源，采用锂聚合物软包电芯，确保使用安全。支持QC2.0快充协议，提升充电效率。外壳材质为塑料，轻巧耐用。,1,5,7,1,2,1,增加安全可靠、轻巧耐用等未提供结论
609861568866,3C数码,移动电源,品牌=中性 | 型号=圆柱形 | 电池容量=2600MAH | 电池类型=锂离子电池 | 电芯类型=圆柱状铝壳 | 外壳材质=合金,6,2600mAh圆柱形合金外壳锂离子移动电源,采用2600mAh大容量锂离子电池，续航能力强 | 圆柱形设计，携带方便，适合各种场合使用 | 外壳选用合金材质，坚固耐用，质感出色,这款移动电源采用2600mAh大容量锂离子电池，能够提供持久电力支持；圆柱形设计便于携带，轻松放入随身物品中；外壳采用合金材质，不仅坚固耐用，还提升了整体质感。,1,4,5,1,1,1,2600mAh被夸大为大容量和持久续航；品牌未表达
609923870759,3C数码,移动电源,品牌=雅奇乐(电池) | 型号=Q5 | 电池容量=8000mAh | 电池类型=锂聚合物电池 | 电芯类型=软包,5,雅奇乐 Q5 8000mAh 锂聚合物软包移动电源,采用高品质锂聚合物电芯，安全稳定 | 8000mAh大容量电池，满足长时间使用需求 | 软包设计，轻薄便携，易于携带,雅奇乐Q5移动电源，配备8000mAh大容量锂聚合物软包电池，确保长时间使用无忧。采用软包设计，不仅容量大，而且更轻薄，便于随身携带。,1,3,5,1,1,1,由锂聚合物电芯推断安全稳定依据不足
610605050479,3C数码,移动电源,品牌=Pisen/品胜 | 电池容量=10000mAh | 电池类型=锂聚合物电池 | 电芯类型=方形铝壳 | 外壳材质=合金,5,Pisen/品胜 10000mAh 锂聚合物方形铝壳合金移动电源,采用高品质锂聚合物电池，安全可靠 | 方形铝壳设计，坚固耐用 | 合金材质外壳，质感出众,Pisen/品胜10000mAh移动电源，选用锂聚合物电池，确保充电安全；方形铝壳电芯设计，增强结构稳定性；合金材质外壳，提升整体质感。,1,5,5,1,1,1,锂聚合物电池不足以保证充电安全
616413073658,3C数码,移动电源,品牌=other/其他 | 型号=J947977 | 电池容量=10000mAh | 电池类型=锂离子电池 | 电芯类型=软包 | 外壳材质=塑料 | 充电协议=pd2.0,7,J947977 10000mAh 锂离子软包移动电源,采用10000mAh大容量电池，满足长时间使用需求 | 内置PD2.0充电协议，支持快速充电技术 | 外壳采用耐用塑料材质，轻巧便携,这款J947977移动电源配备10000mAh锂离子软包电池，提供充足电量支持。支持PD2.0快充协议，充电迅速高效。外壳采用塑料材质，设计轻巧，便于携带。,1,5,6,1,2,1,塑料外壳不能推出耐用或整机轻巧；品牌为占位值且未表达
