product_id,category_l1,category_l2,attribute_checklist,core_attribute_count,generated_title,selling_points,short_description,format_valid,auto_exact_matched_count,matched_attribute_count,fluency_pass,factual_error_count,category_style_pass,review_notes
522783084872,3C数码,移动电源,品牌=HANDIC/汉尼 | 型号=M-20000M | 电池容量=5400mAh | 电池类型=锂电池 | 电芯类型=圆柱状铝壳 | 外壳材质=塑料,6,HANDIC/汉尼 M-20000M 5400mAh 锂电池 移动电源,大容量5400mAh，满足长时间用电需求 | 采用圆柱状铝壳电芯，安全可靠 | 塑料外壳设计，轻巧耐用,HANDIC/汉尼 M-20000M移动电源采用5400mAh锂电池，提供持久电力支持。电芯采用圆柱状铝壳设计，确保使用安全。外壳采用塑料材质，轻便且耐用，适合各种使用环境。,1,6,6,1,2,1,5400mAh被夸为大容量和长续航；塑料不能推出耐用
562615192976,3C数码,移动电源,品牌=非尼摩鼠 | 型号=H15B | 电池容量=1500MAH | 电池类型=锂离子电池 | 电芯类型=圆柱状铝壳 | 外壳材质=塑料 | 充电协议=PE2.0 | 最大输出功率=18W,8,非尼摩鼠H15B 1500mAh便携式移动电源,采用圆柱状铝壳电芯，安全稳定 | 支持PE2.0快充协议，高效充电 | 塑料外壳设计，轻巧便携,非尼摩鼠H15B移动电源，配备1500mAh锂离子电池，采用圆柱状铝壳电芯确保安全稳定。支持PE2.0快充协议，有效提升充电效率。塑料外壳设计，轻巧便携，适合日常出行使用。,1,7,7,1,1,1,充电宝塑料外壳并不能推出轻巧
583014299804,3C数码,移动电源,品牌=雅奇乐(电池) | 电池容量=8000mAh | 电池类型=锂聚合物电池 | 电芯类型=软包,4,雅奇乐8000mAh锂聚合物软包移动电源,采用高效锂聚合物电芯，安全稳定 | 8000mAh大容量，满足长时间使用需求 | 轻巧便携设计，适合各种出行场景,雅奇乐8000mAh锂聚合物软包移动电源，采用高效稳定的锂聚合物电芯，保障充电安全与效率。大容量电池设计，轻松应对长时间使用。小巧轻便，方便随身携带，满足日常出行及办公需求。,1,2,4,1,3,1,安全高效、长时间供电和轻巧便携缺少依据
587556959797,3C数码,移动电源,"品牌=Luxtude | 型号=Et50L | 电池容量=5000mAh | 电池类型=锂聚合物电池 | 电芯类型=方形铝壳 | 外壳材质=合金 | 充电协议=BC1.2,DCP | 最大输出功率=12W",8,Luxtude Et50L 5000mAh方形铝壳合金移动电源,采用高性能5000mAh锂电池，满足长时间外出用电需求 | 支持BC1.2和DCP双充电协议，兼容性强 | 铝合金外壳设计，坚固耐用，质感出众,Luxtude Et50L移动电源，配备5000mAh大容量锂聚合物电池，电芯采用方形铝壳设计，保证安全稳定。支持BC1.2和DCP两种充电协议，适用于多种设备。搭配铝合金外壳，不仅坚固耐用，更显高端质感。,1,7,7,1,3,1,12W未表达；合金被写成铝合金，强兼容和长时供电无依据
589508217209,3C数码,移动电源,品牌=other/其他 | 型号=others | 电池容量=3000mAh | 电池类型=锂聚合物电池 | 电芯类型=软包 | 外壳材质=合金,6,3000mAh锂聚合物软包合金移动电源,3000mAh大容量电池，满足长时间使用需求 | 采用锂聚合物软包电芯，安全可靠 | 合金外壳设计，坚固耐用,这款移动电源采用3000mAh大容量电池，能够提供持久电力支持。其使用锂聚合物软包电芯，确保安全性能更佳。外壳采用合金材质，不仅美观而且坚固耐用。,1,3,4,1,2,1,品牌型号为占位值；3000mAh被夸大容量长续航，软包电芯不保证安全
590175217614,3C数码,移动电源,品牌=ROMOSS/罗马仕 | 型号=sense 8P | 电池容量=30000mAh | 电池类型=锂聚合物电池 | 电芯类型=软包 | 外壳材质=塑料 | 充电协议=QC2.0,7,ROMOSS sense 8P 30000mAh 锂聚合物移动电源,采用软包电芯设计，安全可靠 | 支持QC2.0快充协议，充电更高效 | 轻巧塑料外壳，携带方便,ROMOSS sense 8P是一款30000mAh的大容量移动电源，使用锂聚合物软包电芯，确保长时间使用的安全性。它具备QC2.0快充技术，为设备充电更快捷。外观采用塑料材质，设计轻便，便于随身携带。,1,5,7,1,2,1,软包电芯不保证安全；塑料外壳不能推出整机轻巧
609861568866,3C数码,移动电源,品牌=中性 | 型号=圆柱形 | 电池容量=2600MAH | 电池类型=锂离子电池 | 电芯类型=圆柱状铝壳 | 外壳材质=合金,6,圆柱形2600MAH锂离子移动电源,采用优质合金外壳，坚固耐用 | 圆柱形设计，携带方便 | 锂离子电池，安全可靠,本产品为圆柱形设计，选用2600MAH锂离子电池作为动力源，内置圆柱状铝壳电芯，确保高效能输出。外壳采用合金材质，不仅美观大方，更能提供卓越的物理防护。,1,5,5,1,2,1,品牌为占位值；锂电池不保证安全；不足以证明高效输出
609923870759,3C数码,移动电源,品牌=雅奇乐(电池) | 型号=Q5 | 电池容量=8000mAh | 电池类型=锂聚合物电池 | 电芯类型=软包,5,雅奇乐 Q5 8000mAh 锂聚合物软包移动电源,采用优质锂聚合物软包电芯，安全稳定耐用 | 大容量8000mAh，满足多种设备充电需求 | 轻巧便携设计，旅行出差必备,雅奇乐Q5移动电源采用8000mAh大容量锂聚合物软包电芯，为您的手机和其他电子设备提供持久电力支持。小巧轻便的设计方便随身携带，无论是日常使用还是外出旅行都能轻松应对。,1,3,5,1,3,1,软包电芯不保证安全耐用；轻巧便携及多设备适用缺少依据
610605050479,3C数码,移动电源,品牌=Pisen/品胜 | 电池容量=10000mAh | 电池类型=锂聚合物电池 | 电芯类型=方形铝壳 | 外壳材质=合金,5,Pisen品胜10000mAh方形铝壳锂聚合物合金移动电源,采用高品质方形铝壳锂聚合物电芯，安全可靠 | 合金材质外壳，坚固耐用，质感出众 | 大容量10000mAh，满足多种设备充电需求,本产品采用Pisen品胜品牌，具备10000mAh大容量电池，适合多种电子设备充电使用。采用方形铝壳锂聚合物电芯设计，确保充电安全。外壳选用合金材质，坚固耐用，提供良好的手感。,1,3,5,1,1,1,方形铝壳锂电芯不能保证充电安全
616413073658,3C数码,移动电源,品牌=other/其他 | 型号=J947977 | 电池容量=10000mAh | 电池类型=锂离子电池 | 电芯类型=软包 | 外壳材质=塑料 | 充电协议=pd2.0,7,J947977 10000mAh 锂离子软包移动电源,10000mAh大容量，满足长时间使用需求 | 采用PD2.0快充协议，充电更快更高效 | 外壳材质为耐用的塑料，安全可靠,J947977型号移动电源，配备10000mAh锂离子软包电池，适用于各种电子设备。支持PD2.0快充技术，提升充电速度。外壳采用耐用塑料材质，设计稳固安全。,1,5,6,1,2,1,品牌为占位值；塑料耐用和安全可靠无依据
